2511155,11
424926,6
1693518,3
138134,5
4259511,4
8364730,10
543407,6
393195,13
8917634,3
23653,24
2683316,10
194261,12
935355,22
107657,8
7442574,8
1401659,4
1095861,8
1390430,4
810373,16
2240790,13
1650035,6
5052046,4
90629,9
1726160,7
1354874,6
225041,6
1138706,5
5748513,4
1976293,13
1403785,12
8797142,3
3724677,3
4841604,42
2681080,45
3287863,5
6705564,9
2357851,13
1083424,10
585314,4
7391179,4
1747555,7
7391172,8
219896,4
1759086,12
424946,10
23637,8
922315,6
706827,3
23632,8
100726,27
3271040,3
203073,4
3266868,4
1401632,4
5582267,4
3196906,3
2637363,3
2952236,8
431241,24
9187561,33
6533921,3
2295637,12
25765,4
3886882,11
2116009,7
7530473,3
8497070,4
1690849,4
1837451,4
2770856,4
759760,3
10952,15
10951,26
599200,5
2342521,12
356344,3
558966,4
368790,4
1546753,4
1107947,3
3050054,11
2300115,5
1259488,4
2161610,12
1446746,52
4257402,8
413897,8
35700,4
3843193,27
2159213,9
1792742,9
11048567,152
135013,6
7509391,7
8325669,8
3030999,14
2307499,11
1964528,3
3058534,4
39631,4
1963022,20
2764702,8
39602,10
2156011,4
391072,19
394668,14
4485400,3
424986,4
172522,3
1791200,8
576468,3
194209,28
846996,8
718971,8
3052065,16
1088933,13
2461624,4
1949613,7
399917,3
122310,45
4480835,3
4258038,12
1965277,52
394654,26
4274421,9
218735,3
63950,4
2153429,16
1312429,3
291154,3
327712,6
796742,3
1245584,28
172107,11
583242,16
1904163,9
923857,6
654494,4
8611258,8
2158132,4
172101,4
2637305,3
430182,75
2518706,30
1654472,6
6637618,7
1927763,96
2433252,3
6870285,3
39675,3
5528061,8
3203188,6
5009466,9
2683388,22
1330408,4
1474611,3
6667783,3
2731672,13
145636,7
1181965,8
195773,14
2836157,4
39643,4
5614784,3
7347494,8
368768,4
180412,4
9904902,4
173618,7
9799321,4
5313233,3
1730231,12
6086492,4
510276,3
3623499,8
2345828,5
46609,8
4086650,7
1524041,4
515487,3
46604,7
718918,3
867558,8
22579,10
5690956,4
2911717,4
728408,4
1128291,3
5972775,4
5328514,16
35793,6
35792,6
3178324,12
2654937,4
9095334,16
390480,4
1733879,4
894114,12
1650001,4
3967161,8
2836101,3
333446,3
7862286,3
7137273,4
923891,8
3024248,3
402611,7
112880,6
5135540,20
1473128,4
4579353,124
2772049,8
431200,6
412365,3
5245562,3
145645,4
7180277,29
6795865,4
2802988,3
435491,5
4138519,3
2384992,3
90695,3
1071745,4
6995983,7
1912569,14
3613909,6
112859,5
209264,4
1948059,5
4262179,8
3944736,9
4225656,31
214536,22
2300160,4
211490,7
3243229,19
3579467,8
1764227,3
447951,3
1013808,6
7570836,12
5687400,3
979799,16
172055,4
4188461,4
3219039,3
654529,10
2759187,4
144978,3
7296483,8
327699,4
916363,5
1473176,4
4461542,6
1558655,7
2852470,8
1073991,22
794574,4
2376033,10
115742,4
402531,15
970949,8
2184757,4
482709,20
2217531,11
998608,3
7237622,11
7243831,4
3024309,6
4366399,7
6966189,4
2379873,4
3095852,15
35681,7
1298695,13
6528769,7
970918,4
112895,9
3762244,6
1028776,45
4476780,12
7952678,13
136131,4
3546570,5
3891542,42
2795373,8
787572,4
145686,7
1824996,4
35698,7
1473195,4
447915,3
1558679,4
1654539,3
2217555,3
447918,26
624180,3
685510,40
1978312,17
3946608,4
2132642,3
1860732,5
3207624,7
144941,4
5788663,4
818981,5
38508,3
1569443,12
515420,6
2145440,5
8346130,4
2132645,5
8892087,3
1233253,5
338999,4
4193780,8
722629,9
1300392,6
331269,9
1824945,15
331286,8
2759148,13
4694380,3
522948,4
4011129,4
1013850,3
2795358,6
2402845,4
4362083,3
3097923,10
6840021,5
8339146,3
341833,12
3295826,5
484837,4
5815168,4
3350240,5
6923681,5
1050507,8
7253346,3
2312583,13
3206887,21
4219338,4
837579,45
550105,7
255826,18
1316832,4
5609609,4
1876696,5
2436961,4
1139240,6
526105,10
254662,3
7242718,4
187559,17
2436968,4
1138787,3
75506,4
7560053,3
1618094,4
37417,5
3207674,13
2589100,3
3056328,3
7503981,7
262122,3
1942203,4
395375,3
37406,4
8166557,49
961547,5
6663460,20
1824924,4
6125826,8
4394909,11
1950238,5
650150,4
1546689,3
3287801,8
183212,4
61732,10
2318610,3
3314655,5
1889747,3
3897892,6
38598,6
573736,4
7042112,3
10936,4
434442,3
710214,4
8385817,3
907986,15
25810,4
2067090,24
3930956,4
1954676,4
211443,4
6224614,11
398871,36
1888271,13
254625,7
873918,6
38581,39
69592,8
3538417,4
1963076,4
5898420,5
2339020,8
916336,7
143411,5
4085588,6
61792,7
97948,12
2256509,14
45161,5
4483915,4
2253438,3
46571,8
34145,5
729490,4
484880,9
34147,6
67441,5
936161,7
34148,13
7242752,9
550171,5
4383986,8
5316355,52
194152,3
498650,6
873939,7
69573,24
331205,14
255896,6
3163031,4
2762534,4
38567,16
3253949,4
211472,38
873946,10
692016,12
38551,5
543395,4
9647806,6
1138736,100
413920,7
388142,5
1014928,4
150045,4
518745,7
76941,33
881213,4
150042,37
34324,3
812606,3
4355087,107
2530925,4
896167,3
9799281,7
218890,12
883238,3
1038370,6
2780298,4
1136468,9
90527,3
1029712,12
1194001,6
4367606,4
1200210,3
5455270,3
333306,3
452823,4
759680,11
1029728,4
9325266,5
96104,35
1905182,5
971158,11
1957968,12
218870,7
4606435,7
